Sample ,Age,Photos,# of Tags,Albums,Gender ,Emp,Profile,Cover,Orientation,Relationship,Posts,Replies,Children,Likes,Edu,Events,Friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,27,914,179,30,0,1,0,1,1,1,11,6,0,191,0,1,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,23,16,148,7,1,1,1,0,1,0,13,8,0,10,0,11,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,25,1521,310,29,0,0,0,0,1,1,62,15,1,105,1,1,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,20,178,310,16,0,1,0,0,1,1,11,6,0,6,0,2,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,30,1226,250,44,1,1,0,0,1,1,15,9,0,230,1,2,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,22,32,5,1,1,1,1,1,1,0,8,13,0,19,0,2,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,22,"1,486",5,0,0,1,1,1,1,1,15,29,0,123,0,15,"1,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,26,1,2,0,1,1,1,1,1,0,7,6,0,72,0,2,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,24,65,3,1,0,1,1,1,1,1,12,21,0,302,0,23,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,20,317,7,1,1,1,1,1,1,0,14,15,0,64,0,15,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,36,41,10,1,1,1,1,1,1,1,12,5,1,6,1,3,"1,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,26,312,6,0,0,1,1,1,1,0,17,15,1,151,1,20,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,21,37,4,1,0,0,1,1,1,0,10,18,0,19,1,2,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,26,23,1,0,1,1,1,1,1,1,7,9,0,31,0,1,"1,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,25,104,3,1,0,1,1,1,1,1,9,18,1,95,0,2,"1,065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,23,76,4,1,0,1,1,1,1,1,20,27,0,25,1,8,"2,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,25,318,324,8,0,1,1,0,1,1,446,344,0,1,0,3,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,34,52,22,2,0,1,1,0,1,1,212,115,1,15,0,2,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,20,171,7,1,0,0,1,1,1,0,6,8,0,85,1,0,"2,365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,24,41,6,0,1,0,1,1,1,0,13,15,0,25,0,40,"1,589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,24,26,5,1,0,1,1,1,1,0,12,14,0,33,0,2,"2,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,24,1,0,0,0,0,0,0,1,0,5,3,0,22,0,0,"1,867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,22,452,5,1,0,1,1,1,1,0,15,5,0,37,0,23,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,27,161,9,1,0,1,1,1,1,1,25,33,1,52,0,1,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,23,5399,1935,80,0,1,0,1,1,0,97,21,0,225,0,8,1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,22,2613,1152,51,0,0,1,0,1,0,89,14,0,150,0,11,1405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,23,3372,260,106,0,0,1,0,1,0,82,11,0,121,1,6,1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,27,518,398,25,1,1,1,1,1,1,80,12,0,56,0,10,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,24,445,979,20,0,0,1,0,0,1,37,15,0,285,1,0,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,21,43,372,7,1,0,0,0,1,0,15,9,0,117,0,7,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,23,2075,1163,26,0,1,1,0,1,0,66,59,0,86,0,1,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,22,5585,2658,71,0,1,1,0,1,1,25,6,0,160,0,6,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,25,1849,773,56,0,1,1,0,1,1,10,1,0,181,0,1,954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,26,454,401,19,0,1,1,0,0,0,28,10,0,49,0,3,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,25,353,275,12,1,1,1,0,1,1,115,24,0,8,1,3,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,31,459,68,18,0,0,1,0,1,1,20,15,3,208,1,1,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,23,433,473,27,0,1,1,0,1,1,29,10,0,259,0,4,869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,24,60,292,5,1,1,1,0,0,0,3,0,0,27,0,4,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,27,660,958,31,1,1,1,0,1,0,80,37,1,314,1,1,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,24,3007,986,57,0,0,1,0,1,0,25,18,0,135,0,6,1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,25,984,125,23,1,1,1,0,1,1,58,29,0,266,0,4,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,25,3837,856,115,1,1,1,0,1,1,63,14,0,133,0,13,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,27,639,870,32,1,1,1,0,0,0,12,1,0,29,0,2,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,29,298,108,15,1,1,1,0,1,1,4,1,3,274,0,2,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,38,257,48,20,1,1,0,0,1,1,0,0,2,96,0,5,1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,21,704,280,24,0,0,1,1,1,1,9,21,0,56,0,5,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,26,426,360,21,1,1,1,0,1,0,11,30,0,32,0,2,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
